city,borough,district,address,name,inscription,picture,note,Geohack,lat,lon,first_name,middle_name,surname,maiden_name,year_of_birth,deported,year_of_deportation,age_when_deported,murdered,concentration_camp,Auschwitz,Fuhlsbüttel,Neuengamme,Sachsenhausen,Buchenwald,Ravensbrück,Stutthof,Bergen-Belsen,Dachau,Polenaktion,Weiße Rose,Suicide
Hamburg,Altona,Altona-Altstadt,Behnstraße 83,Franz Lorenzen,Hier wohnte Franz Lorenzen Jg. 1885 eingewiesen Alsterdorfer Anstalten ermordet 13.11.1942,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5496544_N_9.9410973_E_region:DE-HH_type:landmark&title=Franz+Lorenzen,53.5496544,9.9410973,Franz,,Lorenzen,,1885.0,False,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bei der Friedenseiche 6,Else Jacobson geb. Storch,Hier wohnte Else Jacobson geb. Storch Jg. 1891 deportiert 1942 Auschwitz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5542467_N_9.9411194_E_region:DE-HH_type:landmark&title=Else+Jacobson+geb.+Storch,53.5542467,9.9411194,Else,,Jacobson,Storch,1891.0,True,1942.0,51.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bei der Friedenseiche 6,Ernst Jacobson,Hier wohnte Dr. Ernst Jacobson Jg. 1887 inhaftiert deportiert 1942 Auschwitz ???,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5542650_N_9.9411016_E_region:DE-HH_type:landmark&title=Dr.+Ernst+Jacobson,53.554265,9.9411016,Ernst,,Jacobson,,1887.0,True,1942.0,55.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bei der Friedenseiche 6,Ruth Jacobson,Hier wohnte Ruth Jacobson Jg. 1923 deportiert 1942 Auschwitz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5542265_N_9.9411484_E_region:DE-HH_type:landmark&title=Ruth+Jacobson,53.5542265,9.9411484,Ruth,,Jacobson,,1923.0,True,1942.0,19.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bei der Johanniskirche 5,Rosa Hillelsohn geb. Ascher,Hier wohnte Rosa Hillelsohn geb. Ascher Jg. 1892 deportiert 1941 Minsk ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5595502_N_9.9526797_E_region:DE-HH_type:landmark&title=Rosa+Hillelsohn+geb.+Ascher,53.5595502,9.9526797,Rosa,,Hillelsohn,Ascher,1892.0,True,1941.0,49.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bei der Johanniskirche 5,Wolfgang David Hillelsohn,Hier wohnte Wolfgang David Hillelsohn Jg. 1927 deportiert 1941 Minsk ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5595561_N_9.9526953_E_region:DE-HH_type:landmark&title=Wolfgang+David+Hillelsohn,53.5595561,9.9526953,Wolfgang,David,Hillelsohn,,1927.0,True,1941.0,14.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 71,Lina Goldblatt geb. Goldblatt,Hier wohnte Lina Goldblatt geb. Goldblatt Jg. 1893 deportiert 1941 Riga 1944 Stutthof ermordet 9.8.1944,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.556396_N_9.958014_E_region:DE-HH_type:landmark&title=Lina+Goldblatt+geb.+Goldblatt,53.556396,9.958014,Lina,,Goldblatt,Goldblatt,1893.0,True,1941.0,48.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 71,Max Goldblatt,Hier wohnte Max Goldblatt Jg. 1892 'Polenaktion' 1938 Bentschen/Zbaszyn zurückgekehrt Gefängnis Fuhlsbüttel Sachsenhausen ermordet 17.5.1940,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.556396_N_9.958014_E_region:DE-HH_type:landmark&title=Max+Goldblatt,53.556396,9.958014,Max,,Goldblatt,,1892.0,False,,,True,False,False,True,False,True,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 71,Rosa Goldblatt,Hier wohnte Rosa Goldblatt Jg. 1921 deportiert 1941 Riga 1944 Stutthof ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.556396_N_9.958014_E_region:DE-HH_type:landmark&title=Rosa+Goldblatt,53.556396,9.958014,Rosa,,Goldblatt,,1921.0,True,1941.0,20.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 71,Werner Loewe,Hier wohnte Werner Loewe Jg. 1913 eingewiesen 1935 Heilanstalt Neustadt 'verlegt' 9.7.1941 Bernburg ermordet 9.7.1941 'Aktion T4',,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.556396_N_9.958014_E_region:DE-HH_type:landmark&title=Werner+Loewe,53.556396,9.958014,Werner,,Loewe,,1913.0,False,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 71,Lotti Weissmann geb. Grünspan,Hier wohnte Lotti Weissmann geb. Grünspan Jg. 1899 'Polenaktion' 1938 Bentschen/Zbaszyn deportiert 1941 Ghetto Minsk ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.55638_N_9.95801_E_region:DE-HH_type:landmark&title=Lotti+Weissmann+geb.+Gr%C3%BCnspan,53.55638,9.95801,Lotti,,Weissmann,Grünspan,1899.0,True,1941.0,42.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Erwin Pulka,Hier wohnte Erwin Pulka Jg. 1938 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577021_N_9.9585912_E_region:DE-HH_type:landmark&title=Erwin+Pulka,53.5577021,9.9585912,Erwin,,Pulka,,1938.0,True,1941.0,3.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Gerda Pulka geb. Naphtalie,Hier wohnte Gerda Pulka geb. Naphtalie Jg. 1921 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.deEin weiterer Stolperstein befindet sich in Hamburg-Eppendorf.,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577509_N_9.9585991_E_region:DE-HH_type:landmark&title=Gerda+Pulka+geb.+Naphtalie,53.5577509,9.9585991,Gerda,,Pulka,Naphtalie,1921.0,True,1941.0,20.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Hella Pulka geb. Cuckinowski,Hier wohnte Hella Pulka geb. Cuckinowski Jg. 1898 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577632_N_9.9586011_E_region:DE-HH_type:landmark&title=Hella+Pulka+geb.+Cuckinowski,53.5577632,9.9586011,Hella,,Pulka,Cuckinowski,1898.0,True,1941.0,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Hermann Pulka,Hier wohnte Hermann Pulka Jg. 1923 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.de (Laut dortigem Eintrag geboren 1924),pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577265_N_9.9585951_E_region:DE-HH_type:landmark&title=Hermann+Pulka,53.5577265,9.9585951,Hermann,,Pulka,,1923.0,True,1941.0,18.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Isaak Pulka,Hier wohnte Isaak Pulka Jg. 1921 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577387_N_9.9585971_E_region:DE-HH_type:landmark&title=Isaak+Pulka,53.5577387,9.9585971,Isaak,,Pulka,,1921.0,True,1941.0,20.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Markus Pulka,Hier wohnte Markus Pulka Jg. 1927 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.de (Laut dortigem Eintrag geboren 1931),pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577143_N_9.9585932_E_region:DE-HH_type:landmark&title=Markus+Pulka,53.5577143,9.9585932,Markus,,Pulka,,1927.0,True,1941.0,14.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 99,Szlame Pulka,Hier wohnte Szlame Pulka Jg. 1896 verhaftet 1940 KZ Fuhlsbüttel Sachsenhausen ermordet 25.6.1940,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5577754_N_9.9586031_E_region:DE-HH_type:landmark&title=Szlame+Pulka,53.5577754,9.9586031,Szlame,,Pulka,,1896.0,False,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 131,Benjamin Beck,Hier wohnte Benjamin Beck Jg. 1921 'Polenaktion' 1938 Bentschen/Zbaszyn Sachsenhausen 1943 Auschwitz ermordet 17.2.1943,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.558422_N_9.958940_E_region:DE-HH_type:landmark&title=Benjamin+Beck,53.558422,9.95894,Benjamin,,Beck,,1921.0,False,,,True,False,True,False,False,True,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 131,Hena Beck geb. Eisig,Hier wohnte Hena Beck geb. Eisig Jg. 1889 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet Łodz/Litzmannstadt,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.558422_N_9.958940_E_region:DE-HH_type:landmark&title=Hena+Beck+geb.+Eisig,53.558422,9.95894,Hena,,Beck,Eisig,1889.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 131,Markus Beck,Hier wohnte Markus Beck Jg. 1887 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet Łodz/Litzmannstadt,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.558422_N_9.958940_E_region:DE-HH_type:landmark&title=Markus+Beck,53.558422,9.95894,Markus,,Beck,,1887.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 155,Gustav Mösing,Hier wohnte Gustav Mösing Jg. 1904 mehrmals verhaftet zuletzt 1941 Wehrmachtsgefängnisse 'Frontbewährung' tot 6.10.1942 Isokumpu/Finnland,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.559515_N_9.9593434_E_region:DE-HH_type:landmark&title=Gustav+M%C3%B6sing,53.559515,9.9593434,Gustav,,Mösing,,1904.0,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 159,Fella Fajgla Rotmensz geb. Zgnilek,Hier wohnte Fella Fajgla Rotmensz geb. Zgnilek Jg. 1889 'Polenaktion' 1938 Zbaszyn ermordet in Auschwitz,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5597981_N_9.95934645_E_region:DE-HH_type:landmark&title=Fella+Fajgla+Rotmensz+geb.+Zgnilek,53.5597981,9.95934645,Fella,Fajgla,Rotmensz,Zgnilek,1889.0,False,,,True,False,True,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 159,Gitla Gisa Rotmensz,Hier wohnte Gitla Gisa Rotmensz Jg. 1920 'Polenaktion' 1938 Zbaszyn ermordet in Auschwitz,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5597981_N_9.95934645_E_region:DE-HH_type:landmark&title=Gitla+Gisa+Rotmensz,53.5597981,9.95934645,Gitla,Gisa,Rotmensz,,1920.0,False,,,True,False,True,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 159,Hersch Hermann Rotmensz,Hier wohnte Hersch Hermann Rotmensz Jg. 1888 'Polenaktion' 1938 Zbaszyn ermordet in Auschwitz,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5597981_N_9.95934645_E_region:DE-HH_type:landmark&title=Hersch+Hermann+Rotmensz,53.5597981,9.95934645,Hersch,Hermann,Rotmensz,,1888.0,False,,,True,False,True,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 159,Rosa Rotmensz,Hier wohnte Rosa Rotmensz Jg. 1922 'Polenaktion' 1938 Zbaszyn ermordet in Auschwitz,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5597981_N_9.95934645_E_region:DE-HH_type:landmark&title=Rosa+Rotmensz,53.5597981,9.95934645,Rosa,,Rotmensz,,1922.0,False,,,True,False,True,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 161,Anna Mathilde Adest geb. Engelberg,Hier wohnte Anna Mathilde Adest Jg. 1888 geb. Engelberg 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet im besetzten Polen,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.559905_N_9.959531_E_region:DE-HH_type:landmark&title=Anna+Mathilde+Adest+geb.+Engelberg,53.559905,9.959531,Anna,Mathilde,Adest,Engelberg,1888.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 161,Mejer Meier Adest,Hier wohnte Mejer Meier Adest Jg. 1907 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet im besetzten Polen,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.559905_N_9.959531_E_region:DE-HH_type:landmark&title=Mejer+Meier+Adest,53.559905,9.959531,Mejer,Meier,Adest,,1907.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 161,Senta Adest,Hier wohnte Senta Adest Jg. 1914 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet im besetzten Polen,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.559905_N_9.959531_E_region:DE-HH_type:landmark&title=Senta+Adest,53.559905,9.959531,Senta,,Adest,,1914.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Bernstorffstraße 161,Pinkus Adest,Hier wohnte Pinkus Adest Jg. 1887 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet im besetzten Polen,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.559905_N_9.959531_E_region:DE-HH_type:landmark&title=Pinkus+Adest,53.559905,9.959531,Pinkus,,Adest,,1887.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Biernatzkistraße 14,Eduard Duckesz,Hier wohnte Eduard Duckesz Jg. 1868 Flucht – Holland deportiert Auschwitz ermordet 6.3.1944,,Eintrag auf stolpersteine-hamburg.deEin weiterer Stolperstein befindet sich an der Königstraße 10a.,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5484188_N_9.9398824_E_region:DE-HH_type:landmark&title=Eduard+Duckesz,53.5484188,9.9398824,Eduard,,Duckesz,,1868.0,True,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Biernatzkistraße 14,Hanna de Lange geb. Duckesz,Hier wohnte Hanna de Lange geb. Duckesz Jg. 1895 Flucht Holland interniert Westerbork deportiert 1943 Sobibor ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5484188_N_9.9398824_E_region:DE-HH_type:landmark&title=Hanna+de+Lange+geb.+Duckesz,53.5484188,9.9398824,Hanna,de,Lange,Duckesz,1895.0,True,1943.0,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Biernatzkistraße 16,Frieda Treuhold geb. Strauss,Hier wohnte Frieda Treuhold geb. Strauss Jg. 1881 deportiert 1941 ermordet in Auschwitz,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.548699_N_9.939841_E_region:DE-HH_type:landmark&title=Frieda+Treuhold+geb.+Strauss,53.548699,9.939841,Frieda,,Treuhold,Strauss,1881.0,True,1941.0,60.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Biernatzkistraße 16,Moritz Treuhold,Hier wohnte Moritz Treuhold Jg. 1880 deportiert 1942 ermordet in Auschwitz,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.548699_N_9.939841_E_region:DE-HH_type:landmark&title=Moritz+Treuhold,53.548699,9.939841,Moritz,,Treuhold,,1880.0,True,1942.0,62.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Billrothstraße 56,Hans Klietz,Hier wohnte Hans Klietz Jg. 1906 eingewiesen 1927 Heilanstalt Neustadt 'verlegt' 20.5.1941 Bernburg ermordet 20.5.1941 'Aktion T4',,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.553298_N_9.949099_E_region:DE-HH_type:landmark&title=Hans+Klietz,53.553298,9.949099,Hans,,Klietz,,1906.0,False,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Billrothstraße 56,Hermann Klietz,Hier wohnte Hermann Klietz Jg. 1865 eingewiesen Heilanstalt Langenhorn 'verlegt' 17.10.1941 Heilanstalt Ilten ermordet 8.6.1942,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.553298_N_9.949099_E_region:DE-HH_type:landmark&title=Hermann+Klietz,53.553298,9.949099,Hermann,,Klietz,,1865.0,False,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Billrothstraße 56,Clara Schwarzbaum geb. Kaminska,Hier wohnte Clara Schwarzbaum geb. Kaminska Jg. 1887 'Polenaktion' 1938 Bentschen/Zbaszyn ermordet im besetzten Polen,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.553298_N_9.949099_E_region:DE-HH_type:landmark&title=Clara+Schwarzbaum+geb.+Kaminska,53.553298,9.949099,Clara,,Schwarzbaum,Kaminska,1887.0,False,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hamburg,Altona,Altona-Altstadt,Billrothstraße 56,David Schwarzbaum,"Hier wohnte David Schwarzbaum Jg. 1915 'Polenaktion' 1938 Bentschen/Zbaszyn zurückgekehrt 1940 Sachsenhausen Dachau, Neuengamme ermordet 26.6.1942",,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.553298_N_9.949099_E_region:DE-HH_type:landmark&title=David+Schwarzbaum,53.553298,9.949099,David,,Schwarzbaum,,1915.0,False,,,True,False,False,False,True,True,False,False,False,False,True,True,False,False
